@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
156,38,84,5,117,0.040984,0.311475,0.883721,0.311475,0.116279,0.460606,0.17623,1.767442,0.892579
157,37,85,5,117,0.040984,0.303279,0.880952,0.303279,0.119048,0.45122,0.172131,1.761905,0.893754
158,36,86,5,117,0.040984,0.295082,0.878049,0.295082,0.121951,0.441718,0.168033,1.756098,0.900559
159,35,87,5,117,0.040984,0.286885,0.875,0.286885,0.125,0.432099,0.163934,1.75,0.901843
160,34,88,5,117,0.040984,0.278689,0.871795,0.278689,0.128205,0.42236,0.159836,1.74359,0.906653
161,34,88,4,118,0.032787,0.278689,0.894737,0.278689,0.105263,0.425,0.155738,1.789474,0.906919
162,34,88,3,119,0.02459,0.278689,0.918919,0.278689,0.081081,0.427673,0.151639,1.837838,0.906939
163,33,89,3,119,0.02459,0.270492,0.916667,0.270492,0.083333,0.417722,0.147541,1.833333,0.907676
164,32,90,3,119,0.02459,0.262295,0.914286,0.262295,0.085714,0.407643,0.143443,1.828571,0.90847
165,31,91,3,119,0.02459,0.254098,0.911765,0.254098,0.088235,0.397436,0.139344,1.823529,0.908678
166,30,92,3,119,0.02459,0.245902,0.909091,0.245902,0.090909,0.387097,0.135246,1.818182,0.908721
167,29,93,3,119,0.02459,0.237705,0.90625,0.237705,0.09375,0.376623,0.131148,1.8125,0.909161
168,28,94,3,119,0.02459,0.229508,0.903226,0.229508,0.096774,0.366013,0.127049,1.806452,0.912523
169,27,95,3,119,0.02459,0.221311,0.9,0.221311,0.1,0.355263,0.122951,1.8,0.920933
170,26,96,3,119,0.02459,0.213115,0.896552,0.213115,0.103448,0.344371,0.118852,1.793103,0.921514
171,25,97,3,119,0.02459,0.204918,0.892857,0.204918,0.107143,0.333333,0.114754,1.785714,0.921884
172,24,98,3,119,0.02459,0.196721,0.888889,0.196721,0.111111,0.322148,0.110656,1.777778,0.924138
173,23,99,3,119,0.02459,0.188525,0.884615,0.188525,0.115385,0.310811,0.106557,1.769231,0.924206
174,23,99,2,120,0.016393,0.188525,0.92,0.188525,0.08,0.312925,0.102459,1.84,0.927105
175,22,100,2,120,0.016393,0.180328,0.916667,0.180328,0.083333,0.30137,0.098361,1.833333,0.928556
